#,first_layer,second_layer,batch,mape
132,1,14,200,13.1455535161
133,1,14,300,12.8684968142
134,1,14,500,42.1903300817
135,1,14,1000,52.737711832
136,1,14,2000,53.3752654613
137,1,14,5000,46.3525065203
138,1,14,10000,16.9028184292
139,1,14,20000,16.8514412075
140,1,15,32,14.2264248113
141,1,15,100,13.4532115775
142,1,15,200,13.3578661623
143,1,15,300,12.9876433843
144,1,15,500,44.3881900439
145,1,15,1000,54.5796510173
146,1,15,2000,52.7811589818
147,1,15,5000,49.5996201232
148,1,15,10000,16.832216503
149,1,15,20000,18.7913659324
150,1,16,32,14.3601358948
151,1,16,100,13.5378043328
152,1,16,200,13.2839505679
153,1,16,300,13.2038013832
154,1,16,500,12.5634404316
155,1,16,1000,53.7726151537
156,1,16,2000,53.5496112406
157,1,16,5000,50.0594922131
158,1,16,10000,22.2880075179
159,1,16,20000,34.575013904
160,1,17,32,14.2542761338
161,1,17,100,13.7364481076
162,1,17,200,13.228662052
163,1,17,300,13.2998979932
164,1,17,500,23.8485346189
165,1,17,1000,58.5891254276
166,1,17,2000,53.2683992851
167,1,17,5000,50.2209308514
168,1,17,10000,16.7469991031
169,1,17,20000,13.5482267211
170,1,18,32,14.2394313109
171,1,18,100,13.8801390999
172,1,18,200,13.1103090225
173,1,18,300,12.8376256418
174,1,18,500,28.2566764646
175,1,18,1000,62.2543481794
176,1,18,2000,51.8515011802
177,1,18,5000,55.6388214672
178,1,18,10000,16.5025584357
179,1,18,20000,19.5451493461
180,1,19,32,14.3777586764
181,1,19,100,13.7848601921
182,1,19,200,13.4468903524
183,1,19,300,13.2017537598
184,1,19,500,34.5045247997
185,1,19,1000,62.4165349168
186,1,19,2000,65.494659228
187,1,19,5000,55.6360745192
188,1,19,10000,16.4919352474
189,1,19,20000,18.3868176102
190,2,1,32,18.2793022426
191,2,1,100,17.9899335612
192,2,1,200,17.6902162817
193,2,1,300,17.7891512398
194,2,1,500,16.442957683
195,2,1,1000,18.4232962299
196,2,1,2000,16.0255744047
197,2,1,5000,18.3321207833
198,2,1,10000,17.772332435
199,2,1,20000,21.8846266013
200,2,2,32,16.6604232857
201,2,2,100,15.1909361871
202,2,2,200,18.166147042
203,2,2,300,15.3234472931
204,2,2,500,15.5046447465
205,2,2,1000,16.2506716213
206,2,2,2000,16.094259077
207,2,2,5000,16.6404665813
208,2,2,10000,26.1433336722
209,2,2,20000,16.7158484549
210,2,3,32,14.7360041605
211,2,3,100,15.2719090435
212,2,3,200,15.3681317635
213,2,3,300,15.220523439
214,2,3,500,15.3118670191
215,2,3,1000,15.4911135325
216,2,3,2000,15.7031407241
217,2,3,5000,18.702947419
218,2,3,10000,25.9820285282
